nom_site,adresse,cp,ville,adresse_complete,geo_coordinates,arrondissement
Hotel de Ville (3eme etage),"4, Place De L'Hotel De Ville",75004,PARIS,"4, Place De L'Hotel De Ville 75004 PARIS France","48.85694, 2.35212",04
Hotel de Ville (4e etage),"4, Place De L'Hotel De Ville",75004,PARIS,"4, Place De L'Hotel De Ville 75004 PARIS France","48.85694, 2.35212",04
Allee Vivaldi,"13, Rue Henard",75012,PARIS,"13, Rue Henard 75012 PARIS France","48.842049, 2.38947",12
Annexe Maison des Associations Du 09eme,"35, Rue Victor Masse",75009,PARIS,"35, Rue Victor Masse 75009 PARIS France","48.881031, 2.33704",09
Bibliothèque Administrative De La Ville De Paris,"5, Rue De Lobau",75004,PARIS,"5, Rue De Lobau 75004 PARIS France","48.856701, 2.35359",04
Bibliothèque Batignolles,"18, Rue Des Batignolles",75017,PARIS,"18, Rue Des Batignolles 75017 PARIS France","48.88438, 2.3218",17
Bibliothèque Buffon,"15 Bis, Rue Buffon",75005,PARIS,"15 Bis, Rue Buffon 75005 PARIS France","48.84272, 2.36195",05
Bibliothèque Chateau D'Eau,"72, Rue Du Faubourg Saint Martin",75010,PARIS,"72, Rue Du Faubourg Saint Martin 75010 PARIS France","48.871818, 2.35722",10
Bibliothèque Des Litteratures Policier,"48, Rue Du Cardinal Lemoine",75005,PARIS,"48, Rue Du Cardinal Lemoine 75005 PARIS France","48.846458, 2.35144",05
Bibliothèque Francois Villon,"81, Boulevard De La Villette",75010,PARIS,"81, Boulevard De La Villette 75010 PARIS France","48.877258, 2.37089",10
Bibliothèque Gutenberg,"8, Rue De La Montagne D'Aulas",75015,PARIS,"8, Rue De La Montagne D'Aulas 75015 PARIS France","48.840271, 2.27868",15
Bibliothèque Maurice Genevoix,"19, Rue Tristan Tzara",75018,PARIS,"19, Rue Tristan Tzara 75018 PARIS France","48.895027, 2.364053",18
Bibliothèque Musset,"20, Rue De Musset",75016,PARIS,"20, Rue De Musset 75016 PARIS France","48.842023, 2.263587",16
Bibliothèque Personnel,"17, Boulevard Morland",75004,PARIS,"17, Boulevard Morland 75004 PARIS France","48.85006, 2.3634",04
Bibliothèque Sorbier,"17, Rue Sorbier",75020,PARIS,"17, Rue Sorbier 75020 PARIS France","48.86589, 2.39272",20
Bibliothèque Valeyre,"24, Rue De Rochechouart",75009,PARIS,"24, Rue De Rochechouart 75009 PARIS France","48.877979, 2.34486",09
Bibliothèque Yourcenar,"41, Rue D Alleray",75015,PARIS,"41, Rue D Alleray 75015 PARIS France","48.83672, 2.30365",15
Carre Baudoin,"121, Rue De Mesnilmontant",75020,PARIS,"121, Rue De Mesnilmontant 75020 PARIS France","48.869862, 2.39405",20
Centre Animation Espace Cevennes,"9, Rue De La Montagne D'Aulas",75015,PARIS,"9, Rue De La Montagne D'Aulas 75015 PARIS France","48.840302, 2.27893",15
Centre d'Animation Angele Mercier,"133, Boulevard Serurier",75019,PARIS,"133, Boulevard Serurier 75019 PARIS France","48.88417, 2.39462",19
Centre Sportif Louis Lumiere,"30, Rue Louis Lumiere",75020,PARIS,"30, Rue Louis Lumiere 75020 PARIS France","48.85918, 2.41146",20
Jardin Atlantique,"5, Place Des Cinq Martyrs Du Lycée Buffon",75015,PARIS,"5, Place Des Cinq Martyrs Du Lycée Buffon 75015 PARIS France","48.838791, 2.31683",15
Jardin Chateau Des Rentiers,Rue Du Chateau Des Rentiers,75013,PARIS,Rue Du Chateau Des Rentiers 75013 PARIS France,"48.826317, 2.369109",13
Jardin De Reuilly,"1, Rue Albinoni",75012,PARIS,"1, Rue Albinoni 75012 PARIS France","48.84288, 2.38845",12
Jardin Jules Noel,"3, Avenue Maurice D'Ocagne",75014,PARIS,"3, Avenue Maurice D'Ocagne 75014 PARIS France","48.82457, 2.31402",14
Mairie du 14E Arrondissement,"2, Place Ferdinand Brunot",75014,PARIS,"2, Place Ferdinand Brunot 75014 PARIS France","48.832828, 2.32674",14
Mairie du 1Er Arrondissement,"4, Place Du Louvre",75001,PARIS,"4, Place Du Louvre 75001 PARIS France","48.860081, 2.34105",01
Maison de L'Emploi Du 13eme,"126, Avenue D'Italie",75013,PARIS,"126, Avenue D'Italie 75013 PARIS France","48.82375, 2.35801",13
Maison de L'Emploi Du 18eme,"164, Rue Ordener",75018,PARIS,"164, Rue Ordener 75018 PARIS France","48.893761, 2.33547",18
Maison des Associations Du 04eme,"38 , Boulevard Henry IV",75004,PARIS,"38 , Boulevard Henry IV 75004 PARIS France","48.852291, 2.36628",04
Maison des Associations Du 05eme,"7, Square Adanson",75005,PARIS,"7, Square Adanson 75005 PARIS France","48.83942, 2.35188",05
Maison des Associations Du 10eme,"206, Quai De Valmy",75010,PARIS,"206, Quai De Valmy 75010 PARIS France","48.88216, 2.36892",10
Maison des Associations Du 20eme,"1, Rue Frederick Lemaitre",75020,PARIS,"1, Rue Frederick Lemaitre 75020 PARIS France","48.873421, 2.391",20
Maison des Associations Du 06eme,"60, Rue Saint Andre Des Arts",75006,PARIS,"60, Rue Saint Andre Des Arts 75006 PARIS France","48.853496, 2.339608",06
Maison des Associations Du 07eme,"93, Rue Saint Dominique",75007,PARIS,"93, Rue Saint Dominique 75007 PARIS France","48.859638, 2.30718",07
Maison des Associations Du 08eme,"23, Rue Vernet",75008,PARIS,"23, Rue Vernet 75008 PARIS France","48.871948, 2.29813",08
Musee D'Art Moderne,"11, Avenue Du President Wilson",75016,PARIS,"11, Avenue Du President Wilson 75016 PARIS France","48.86478, 2.29557",16
Musee Du Petit Palais,"1, Avenue Dutuit",75008,PARIS,"1, Avenue Dutuit 75008 PARIS France","48.866083, 2.31564",08
Musee Memorial Marechal Leclerc,"23, Allee De La Deuxieme Division Blindee",75015,PARIS,"23, Allee De La Deuxieme Division Blindee 75015 PARIS France","48.840485, 2.32021",15
Parc de Belleville,"27, Rue Piat",75020,PARIS,"27, Rue Piat 75020 PARIS France","48.87191, 2.38504",20
Parc de Bercy (terrasse Bercy),"1, Cour Chamonard",75012,PARIS,"1, Cour Chamonard 75012 PARIS France","48.835124, 2.41756",12
Parc Georges Brassens (entree),"2, Place Jacques Marette",75015,PARIS,"2, Place Jacques Marette 75015 PARIS France","48.832722, 2.30069",15
Solarium Edouard Pailleron,"39, Rue Edouard Pailleron",75019,PARIS,"39, Rue Edouard Pailleron 75019 PARIS France","48.881302, 2.37939",19
Square Alban Satragne,"107, Rue Du Faubourg Saint Denis",75010,PARIS,"107, Rue Du Faubourg Saint Denis 75010 PARIS France","48.87513, 2.35585",10
Square Alexandre Et Rene Parodi,Boulevard Thierry De Martel,75016,PARIS,Boulevard Thierry De Martel 75016 PARIS France,"48.876598, 2.279772",16
Square Amadou Hampate Ba,"17, Rue Boy Zelenski",75010,PARIS,"17, Rue Boy Zelenski 75010 PARIS France","48.87743, 2.36839",10
Square Andre Ulmann,"17, Boulvard De Reims",75017,PARIS,"17, Boulvard De Reims 75017 PARIS France","48.890202, 2.2989",17
Square Antoine Blondin,"128, Rue De Bagnolet",75020,PARIS,"128, Rue De Bagnolet 75020 PARIS France","48.86079, 2.40479",20
Square Charles Peguy,Rue Rottembourg,75012,PARIS,Rue Rottembourg 75012 PARIS France,"48.838314, 2.406186",12
Square Charonne,"159, Rue De Charonne",75011,PARIS,"159, Rue De Charonne 75011 PARIS France","48.855492, 2.38959",11
Square De La Raffinerie Say,Boulevard Vincent Auriol,75013,PARIS,Boulevard Vincent Auriol 75013 PARIS France,"48.831238, 2.356972",13
Square Du Cardinal Petit De Julleville,"2, Rue Gustave Charpentier",75017,PARIS,"2, Rue Gustave Charpentier 75017 PARIS France","48.882381, 2.28255",17
Square Du Tchad,"8, Avenue Du Général Sarrail",75016,PARIS,"8, Avenue Du Général Sarrail 75016 PARIS France","48.84652, 2.25635",16
Square Ernest Chausson,"55, Avenue De Clichy",75017,PARIS,"55, Avenue De Clichy 75017 PARIS France","48.887562, 2.32551",17
Square Henri Cadiou,"69, Boulevard Arago",75013,PARIS,"69, Boulevard Arago 75013 PARIS France","48.83483, 2.342073",13
Square Jean Claude Nicolas Forestier,"79,  Boulevard Kellermann",75013,PARIS,"79,  Boulevard Kellermann 75013 PARIS France","48.82019, 2.34782",13
Square Jean Xxiii,Rue Du Cloitre Notre Dame,75004,PARIS,Rue Du Cloitre Notre Dame 75004 PARIS France,"48.853126, 2.350701",04
Square Juliette Dodu,Angle Rue Juliette Dodu,75010,PARIS,Angle Rue Juliette Dodu 75010 PARIS France,"48.874718, 2.369595",10
Square Louis Xvi,Rue Pasquier,75008,PARIS,Rue Pasquier 75008 PARIS France,"48.87326, 2.323639",08
Square Pixerecourt,Rue Pixerecourt,75020,PARIS,Rue Pixerecourt 75020 PARIS France,"48.871834, 2.395787",20
Promenade Richard Lenoir,"67, Boulevard Richard Lenoir",75011,PARIS,"67, Boulevard Richard Lenoir 75011 PARIS France","48.860458, 2.37209",11
