"1","71","#71"
"2","71","#71"
"3","1 jour 1 destin","#1jour1destin"
"4","100% mag","#100%mag"
"5","13 heures JT","#jt13h"
"6","20 heures JT","#jt20h"
"7","24 heures chrono","#24hChrono"
"8","28 minutes le mag","#28min"
"9","50 minutes inside","#50mnInside"
"10","60 Secondes Chrono","#60SC"
"11","66 minutes le mag","#66minutes"
"12","90 minutes enquêtes","#90enquetes"
"13","90210 Beverly Hills","#90210"
"14","A chacun son histoire","#ACSH"
"15","A mourir de rire","#amdr"
"16","A vos recettes","#avosrecettes"
"17","A vos régions","#avosregions"
"18","Affaires non classées","#AffairesNC"
"19","Affaires non classées","#affairesnonclassees"
"20","Affaires privées","#aprivees"
"21","Allo Docteur","#allodoc"
"22","Allo Nabila","#AlloNabilla"
"23","Amazing Grace","#amazingrace"
"24","AMAZING RACE","#AMAZINGRACE"
"25","American wives","#ArmyWives"
"26","Archipels","#archipels"
"27","Arte","#arte"
"28","Au coeur de l’enquête","#aucoeurdelenquete"
"29","Auto Moto","#Automoto"
"30","Baffie est un sale gosse","#beusg"
"31","Bas les cœurs","#blc"
"32","Belle toute nue","#btn"
"33","Beverly Hills 90210","#90210"
"34","Bienvenue chez Cauet","#bcc"
"35","Blue Bloods","#BlueBloods"
"36","Body of proof","#BoP"
"37","Bones","#Bones"
"38","Bourdin Direct","#bourdindirect"
"39","Braquo","#braquo"
"40","Breaking Bad","#BreakingBad"
"41","Buffy contre les vampires","#Buffy"
"42","C à vous","#cavous"
"43","C dans l’air","#cdanslair"
"44","C politique","#cpolitique"
"45","C’est ma vie","#emv"
"46","C’est pas sorcier","#cpsorcier"
"47","Castle","#Castle"
"48","Californication","#Californication"
"49","Ca nous ressemble","#cnr"
"50","Caméra Café","#CameraCafe"
"51","Camping Paradis","#CampingParadis"
"52","Capital","#capital"
"53","Castle","#Castle"
"54","Ce soir (ou jamais !)","#csoj"
"55","Ce Soir Avec Arthur","#CSaArthur"
"56","Champion’s League","#Foot"
"57","Clé sur porte","#CleSurPorte"
"58","Club RTL","#ClubRTL"
"59","Cold Case","#ColdCase"
"60","Complément d’enquête","#cdenquete"
"61","Confessions intimes","#ConfessionsIntimes"
"62","Controverse","#Controverse"
"63","Cougar Town","#CougarTown"
